Id,roberta_neg,roberta_neu,roberta_pos,vader_neg,vader_neu,vader_pos,vader_compound,Score,Time,Summary,Text
165257,0.006663828,0.05120162,0.94213444,0.0,0.768,0.232,0.9684,5,1268179200,Crunchy & Good Gluten-Free Sandwich Cookies!,"Having tried a couple of other brands of gluten-free sandwich cookies, these are the best of the bunch.  They're crunchy and true to the texture of the other ""real"" cookies that aren't gluten-free.  Some might think that the filling makes them a bit too sweet, but for me that just means I've satisfied my sweet tooth sooner!  The chocolate version from Glutino is just as good and has a true ""chocolatey"" taste - something that isn't there with the other gluten-free brands out there."
231466,0.012858224,0.06411601,0.9230257,0.089,0.766,0.144,0.792,5,1298937600,great kitty treats,"My cat loves these treats. If ever I can't find her in the house, I just pop the top and she bolts out of wherever she was hiding to come get a treat. She doesn't like crunchy treats much, so these are perfect for her. I've given her all three flavors and she seems to like them all equally. They do tend to dry out by the time I near the end of the bottle, however. The flip-top lid is very handy. Very nice, inexpensive kitty treats. I have yet to meet a cat that doesn't just love these!"
427828,0.6746851,0.2954311,0.029883752,0.0,0.88,0.12,0.4588,3,1224028800,COFFEE TASTE,A little less than I expected.  It tends to have a muddy taste - not what I expected since they said it was the favorite of the company.
433955,0.07757538,0.64397174,0.2784528,0.009,0.827,0.163,0.9923,2,1335312000,So the Mini-Wheats were too big?,"First there was Frosted Mini-Wheats, in original size, then there was Frosted Mini-Wheats Bite Size. Well, if for some reason those were too much of a mouthful, we now have Frosted Mini-Wheats Little Bits. Yes, these are about half the size of the Bite Size versions. This particular one is ""Cinnamon Roll"".<br /><br />There is nothing new to the table here with the exception of size, which I is unnecessary. Personally, I like original flavor and size the best. But the Bite Size edition were accommodating. These come off as a desperate attempt to give attention to a brand that needs some sort of life put back into it and all they came up with was making them smaller and having a new flavor, which is actually too sweet for me.<br /><br />A serving size is approximately 47 biscuits. Thats 1 gram of polyunsaturated fat, 46 grams of carbohydrates, 6g fiber, 12g of sugar, 5g of protein and 200mg of potassium. Generally they look good but I guess those that are watching their carb intake might want to be careful.<br /><br />These probably fit on a spoon better than its predecessors in a bowl of milk, but I like the other kinds cause they snack better without the milk. But here, these small ones are easily to snack more than you should.<br /><br />I am grading this product 2 stars for 3 reasons 1) I dont think making them smaller has any reason for existing outside of Kellogs filling the shelves with more versions of something that was fine to begin with. 2) This flavor, Cinnamon Roll, is sweet and has a synthetic taste to it. 3) On the plus side, I like Mini-Wheats in general, so it saved it from being one star."
70261,0.008609242,0.03490609,0.9564846,0.089,0.719,0.191,0.9421,5,1334707200,Great Taste . . .,"and I want to congratulate the graphic artist for putting the entire product name on such a small box.  The ad men must have really thought long and hard.<br /><br />But seriously, I love the product. The taste was refreshing and I thought that the taste was pleasing with no aftertaste.  Not too sweet and Goldilocks would have stopped right there if there was a choice of 3.  Easy to use as you just pour the contents into a 16 oz bottle of water and shake.  Mixed well, no granulation, you really couldn't ask for anything more and Lipton like a good drug dealer knows what they are doing, give me a taste for free and have me for life.  5 stars."
49867,0.01867605,0.39733955,0.5839844,0.0,0.887,0.113,0.3182,4,1261958400,Lifesavers - Pineapple flavor,"Please add more Pineapple flavor to your packages of lifesavers, in fact, can you sell pineapple flavor by itself?"
551048,0.0025822849,0.0068965685,0.99052113,0.0,0.665,0.335,0.9445,5,1250985600,The Best Tea!,I absolutely love Yorkshire tea and am so glad it is now available on Amazon!  A cup of this full-bodied black tea with milk in the morning is how I start each day and just love it!
18984,0.034273434,0.12131426,0.8444123,0.077,0.793,0.129,0.3595,5,1291161600,Lady Grey a hit!,I have such a hard time finding loose tea locally. Being able to order my favorite Lady Grey tea on Amazon is convenient and timesaving. The tea comes in a six-pack of tins that are just the right size to insure continued freshness. Speedy shipping too!
138969,0.31894806,0.61227643,0.068775415,0.027,0.866,0.107,0.974,4,1327536000,Pretty good rice noodles,"Previously, I've attempted a recipe with white rice noodles and overcooked them, which made them soggy. So I was determined not to overcook these brown rice noodles. I tried making two dishes. The first was a miso soup with brown rice noodles, which was really just broth with miso and green onions and the noodles added when it was hot. The noodles softened and puffed up, but I think I should of softened them in water and maybe rinsed them first. The broth ended up being a little starchy from the noodles, but it was pretty good.<br /><br />The noodles by themselves don't really have any flavor, they just take on the flavor of whatever dish they are in. So the rice noodles in miso probably wasn't the best idea because the mild miso flavor didn't really give the noodles much flavor. I also tried stir frying the noodles which was much better. I just soaked the noodles in hot water, for about a minute, and then drained them. They came out clear and kind of crunchy. Then I stir fried them with garlic, onion, salt, and coconut oil. I also added some vinegar and nama shoyu for flavor. These noodles came out crunchy and spicy and actually were pretty good.<br /><br />The nice thing about these noodles is they only need about a minute in warm water and then they can be fried or added to soups or other dishes, so they are fairly versatile. They are also gluten free and the brown rice noodles seem more firm than the white rice noodles. As another reviewer posted it does look like these noodles are made in Singapore."
36353,0.015708826,0.10721417,0.877077,0.03,0.914,0.056,0.4588,5,1321228800,Simply the best,"I make pancakes or waffles every Saturday morning with my kids, and there simply is no comparison between this product and any other baking powder I have come across. Even the more expensive brands from Trader Joe's or Whole Foods pale in comparison. Batter comes out light and fluffy every time, and my kids love them. I have also been known to eat a pancake or two. Get the pack of 6 and store up."
